ID,Location,Mode_of_delivery,Calls_to_customer_care,Rating_of_customer,Cost_of_food,Prior_purchases,Gender_of_customer,Discount_offered,Weight_of_food_in_gms,Reached_on_time
1,Gachibowli,Auto,4,2.0,265.5,3.0,F,44,1233,1
4,Khairtabad,Auto,3,3.0,264.0,4.0,M,10,1177,1
6,Hitech City,Auto,3,,243.0,3.0,F,12,1417,1
8,Hitech City,Auto,4,1.0,349.5,2.0,F,48,2804,1
10,Khairtabad,Auto,3,2.0,246.0,,F,29,1187,1
20,Hitech City,Bike,4,,217.5,3.0,M,45,1059,1
22,Khairtabad,Bike,3,,348.0,4.0,F,51,2899,1
25,Gachibowli,Bike,4,5.0,376.5,2.0,F,28,3561,1
26,Hitech City,Bike,3,1.0,337.5,4.0,M,29,3496,1
35,Masab Tank,Bike,4,2.0,340.5,4.0,F,22,2460,1
40,Khairtabad,Bike,4,2.0,403.5,5.0,F,45,2383,1
48,Hitech City,Bike,5,1.0,240.0,2.0,M,32,1576,1
55,Gachibowli,Bike,4,3.0,304.5,3.0,M,12,3539,1
56,Hitech City,Bike,2,,369.0,,M,46,2437,1
59,Masab Tank,Bike,5,,211.5,3.0,M,41,1367,1
60,Hitech City,Bike,4,1.0,225.0,3.0,F,17,1923,1
62,Hitech City,Bike,3,3.0,268.5,,M,52,1158,1
63,Secunderabad,Bike,5,1.0,157.5,6.0,M,62,1292,1
67,Gachibowli,Bike,3,2.0,163.5,3.0,F,15,1710,1
68,Hitech City,Bike,3,3.0,237.0,3.0,F,6,1878,1
73,Gachibowli,Bike,5,5.0,348.0,3.0,F,33,2998,1
75,Secunderabad,Bike,6,1.0,357.0,6.0,F,13,2442,1
76,Khairtabad,Bike,4,,399.0,3.0,F,23,3775,1
79,Gachibowli,Bike,3,4.0,334.5,3.0,M,18,3959,1
80,Hitech City,Bike,3,,385.5,2.0,F,56,3711,1
84,Hitech City,Bike,5,5.0,243.0,3.0,F,31,1364,1
89,Masab Tank,Bike,3,,343.5,3.0,M,49,2339,1
91,Gachibowli,Bike,5,3.0,261.0,6.0,F,41,1085,1
92,Hitech City,Bike,5,5.0,429.0,3.0,F,18,3163,1
99,Secunderabad,Bike,3,5.0,216.0,4.0,M,5,1104,1
100,Khairtabad,Bike,4,2.0,217.5,2.0,M,21,1617,1
107,Masab Tank,Bike,3,1.0,357.0,,M,17,2624,1
109,Gachibowli,Bike,4,5.0,357.0,,F,55,3257,1
112,Khairtabad,Car,4,2.0,358.5,3.0,F,65,3679,1
131,Masab Tank,Car,3,5.0,268.5,2.0,F,17,1364,1
139,Gachibowli,Auto,4,,310.5,5.0,M,48,2399,1
156,Hitech City,Bike,5,1.0,171.0,4.0,F,47,1443,1
171,Secunderabad,Bike,4,3.0,277.5,,F,10,2263,1
175,Gachibowli,Bike,3,3.0,363.0,3.0,F,51,3935,1
178,Khairtabad,Bike,4,,174.0,3.0,M,54,1314,1
181,Gachibowli,Bike,4,1.0,241.5,7.0,F,18,1294,1
185,Masab Tank,Bike,3,3.0,219.0,2.0,M,50,1486,1
187,Gachibowli,Bike,5,,201.0,,F,55,1386,1
188,Hitech City,Bike,2,1.0,333.0,2.0,M,5,3778,1
191,Masab Tank,Bike,2,,195.0,3.0,M,16,1092,1
197,Masab Tank,Bike,2,,202.5,3.0,M,15,1339,1
202,Khairtabad,Bike,2,3.0,240.0,3.0,F,43,1251,1
211,Gachibowli,Bike,2,,190.5,3.0,F,15,1522,1
214,Khairtabad,Bike,2,5.0,240.0,3.0,F,31,7401,1
215,Masab Tank,Bike,2,,193.5,,F,48,1219,1
220,Khairtabad,Bike,3,5.0,405.0,3.0,M,60,3885,1
221,Masab Tank,Bike,3,4.0,363.0,3.0,M,29,2381,1
223,Gachibowli,Bike,4,2.0,288.0,3.0,M,4,2061,1
227,Masab Tank,Bike,4,3.0,241.5,7.0,M,63,1496,1
229,Gachibowli,Bike,3,2.0,246.0,10.0,M,14,1375,1
232,Khairtabad,Bike,3,4.0,313.5,3.0,F,60,2240,1
233,Masab Tank,Bike,5,,201.0,2.0,M,53,1088,1
236,Hitech City,Bike,2,2.0,201.0,3.0,M,38,1352,1
239,Masab Tank,Bike,2,3.0,210.0,3.0,F,23,1372,1
241,Gachibowli,Bike,4,,405.0,4.0,M,65,1818,1
253,Gachibowli,Car,2,,235.5,3.0,M,58,1930,1
254,Hitech City,Car,2,5.0,240.0,3.0,F,19,1399,1
255,Secunderabad,Car,2,2.0,228.0,,F,61,1800,1
257,Masab Tank,Car,2,2.0,190.5,,M,13,1128,1
258,Hitech City,Car,2,2.0,193.5,3.0,F,22,6614,1
269,Masab Tank,Car,3,5.0,361.5,3.0,F,21,3078,1
270,Hitech City,Auto,4,5.0,312.0,3.0,M,23,2056,1
271,Gachibowli,Auto,3,2.0,313.5,5.0,F,12,3054,1
279,Secunderabad,Auto,4,,256.5,3.0,F,24,1304,1
280,Khairtabad,Auto,3,1.0,226.5,2.0,M,60,1925,1
283,Gachibowli,Auto,3,3.0,232.5,3.0,F,29,1712,1
284,Hitech City,Auto,5,4.0,247.5,,F,20,1150,1
285,Secunderabad,Auto,5,5.0,345.0,3.0,F,32,3249,1
286,Khairtabad,Auto,2,4.0,271.5,4.0,M,13,2309,1
287,Masab Tank,Auto,5,3.0,351.0,2.0,F,55,3308,1
288,Hitech City,Auto,4,4.0,223.5,3.0,M,34,1977,1
291,Secunderabad,Auto,4,4.0,405.0,3.0,M,12,3279,1
292,Khairtabad,Bike,4,1.0,309.0,,M,23,3807,1
301,Gachibowli,Bike,5,3.0,190.5,3.0,F,43,1446,1
302,Hitech City,Bike,4,5.0,303.0,2.0,M,35,3695,1
324,Hitech City,Bike,3,1.0,288.0,,M,33,2818,1
327,Secunderabad,Bike,3,4.0,259.5,,M,52,1587,1
331,Gachibowli,Bike,3,4.0,295.5,3.0,F,56,3427,1
333,Secunderabad,Bike,3,5.0,322.5,3.0,F,22,2585,1
336,Hitech City,Bike,3,1.0,291.0,4.0,M,64,2026,1
349,Gachibowli,Bike,4,,349.5,4.0,F,44,2551,1
353,Masab Tank,Bike,2,,400.5,3.0,M,15,2481,1
356,Hitech City,Bike,5,1.0,399.0,3.0,F,31,3157,1
359,Masab Tank,Bike,3,1.0,210.0,3.0,F,65,1291,1
369,Secunderabad,Bike,3,5.0,154.5,3.0,M,3,1403,1
370,Khairtabad,Bike,3,5.0,385.5,3.0,F,19,2173,1
372,Hitech City,Bike,4,5.0,238.5,,M,18,1808,1
377,Masab Tank,Bike,2,3.0,235.5,2.0,M,45,1965,1
379,Gachibowli,Bike,3,5.0,228.0,3.0,M,43,1282,1
382,Khairtabad,Bike,5,2.0,298.5,4.0,F,59,2885,1
393,Secunderabad,Car,4,4.0,267.0,4.0,F,13,1614,1
396,Hitech City,Car,4,4.0,274.5,3.0,M,29,3251,1
397,Gachibowli,Car,3,4.0,307.5,3.0,F,10,2728,1
398,Hitech City,Car,2,1.0,184.5,4.0,F,53,1036,1
415,Gachibowli,Auto,2,,327.0,2.0,M,15,2745,1
425,Masab Tank,Auto,4,1.0,304.5,,M,34,3813,1
442,Khairtabad,Bike,5,3.0,285.0,3.0,M,45,2628,1
448,Khairtabad,Bike,3,4.0,291.0,,M,3,2169,1
456,Hitech City,Bike,4,,223.5,3.0,M,54,1178,1
459,Secunderabad,Bike,3,2.0,268.5,5.0,F,52,1991,1
462,Hitech City,Bike,3,4.0,330.0,,M,43,2620,1
469,Gachibowli,Bike,3,5.0,291.0,3.0,F,10,2277,1
472,Khairtabad,Bike,4,3.0,366.0,3.0,M,8,3318,1
475,Gachibowli,Bike,4,3.0,412.5,10.0,M,10,2093,1
477,Secunderabad,Bike,4,,223.5,3.0,M,26,1863,1
482,Hitech City,Bike,4,5.0,303.0,3.0,F,46,3181,1
483,Secunderabad,Bike,3,,330.0,7.0,M,25,2141,1
489,Secunderabad,Bike,7,5.0,288.0,3.0,M,46,1550,1
505,Gachibowli,Bike,5,3.0,243.0,2.0,F,14,1045,1
508,Khairtabad,Bike,5,,345.0,3.0,F,3,2923,1
510,Hitech City,Bike,5,2.0,352.5,3.0,M,14,2984,1
514,Khairtabad,Bike,5,3.0,375.0,5.0,M,12,2722,1
515,Masab Tank,Bike,4,2.0,261.0,3.0,M,9,1682,1
521,Masab Tank,Bike,3,1.0,217.5,2.0,F,34,1773,1
523,Gachibowli,Car,6,5.0,318.0,,M,38,2359,1
525,Secunderabad,Car,5,2.0,231.0,3.0,M,40,1238,1
526,Khairtabad,Car,3,,373.5,3.0,M,51,2173,1
537,Secunderabad,Car,2,,231.0,4.0,F,17,1897,1
540,Hitech City,Car,4,,399.0,,F,33,2701,1
544,Khairtabad,Auto,3,,346.5,2.0,M,46,2962,1
550,Khairtabad,Auto,3,4.0,264.0,3.0,F,8,1567,1
560,Hitech City,Auto,5,,406.5,3.0,M,32,3785,1
