ID,Location,Mode_of_delivery,Calls_to_customer_care,Rating_of_customer,Cost_of_food,Prior_purchases,Gender_of_customer,Discount_offered,Weight_of_food_in_gms,Reached_on_time
5083,Gachibowli,Auto,3,1.0,241.5,3.0,M,9,4865,1
158,Hitech City,Bike,3,2.0,304.5,2.0,F,39,3845,1
7861,Gachibowli,Bike,4,,208.5,3.0,M,10,4648,0
3592,Khairtabad,Bike,2,3.0,201.0,10.0,F,1,5632,0
2718,Hitech City,Car,4,5.0,238.5,3.0,M,2,1048,1
8823,Secunderabad,Bike,4,4.0,358.5,5.0,F,6,1239,0
7684,Khairtabad,Auto,4,3.0,393.0,2.0,F,3,4064,1
6457,Gachibowli,Bike,3,5.0,292.5,3.0,F,9,4224,0
10793,Masab Tank,Bike,6,1.0,390.0,3.0,F,4,1338,1
1864,Khairtabad,Bike,4,1.0,288.0,3.0,F,29,3347,1
2614,Khairtabad,Auto,4,,409.5,,F,6,2126,1
7060,Khairtabad,Bike,3,4.0,357.0,2.0,M,3,4723,0
3891,Secunderabad,Bike,3,,306.0,3.0,M,4,5900,1
2490,Hitech City,Bike,5,3.0,222.0,3.0,F,48,1099,1
10741,Gachibowli,Bike,4,3.0,288.0,,F,3,1406,1
7568,Hitech City,Bike,3,1.0,376.5,,F,7,5368,1
4497,Secunderabad,Car,4,2.0,334.5,4.0,M,2,5709,0
562,Khairtabad,Auto,2,5.0,235.5,6.0,F,17,1764,1
6578,Hitech City,Auto,5,1.0,399.0,5.0,F,9,1852,0
7798,Khairtabad,Car,5,3.0,289.5,4.0,F,3,5026,0
1325,Masab Tank,Bike,3,5.0,256.5,3.0,F,24,1300,1
3858,Hitech City,Bike,5,,367.5,2.0,F,2,4882,1
5462,Hitech City,Car,6,,384.0,4.0,F,2,1752,1
7,Gachibowli,Auto,3,4.0,375.0,3.0,F,3,2371,1
1845,Secunderabad,Bike,3,,297.0,2.0,F,20,2266,1
4880,Hitech City,Bike,5,1.0,222.0,4.0,M,2,5821,1
6284,Hitech City,Car,5,1.0,346.5,5.0,M,10,1418,0
4408,Khairtabad,Bike,3,5.0,160.5,,F,4,5624,0
7221,Secunderabad,Bike,4,2.0,409.5,,F,8,2000,0
13,Gachibowli,Auto,3,5.0,297.0,3.0,F,1,3667,1
10992,Hitech City,Bike,5,2.0,391.5,5.0,M,9,1227,1
6208,Khairtabad,Bike,5,,217.5,3.0,M,1,5783,1
3985,Gachibowli,Auto,5,1.0,240.0,5.0,F,1,4672,0
10572,Hitech City,Bike,3,1.0,301.5,3.0,F,8,4315,0
10095,Secunderabad,Bike,3,,406.5,2.0,F,6,4020,1
6118,Khairtabad,Bike,6,4.0,406.5,3.0,F,7,5192,1
7727,Masab Tank,Bike,7,3.0,462.0,4.0,M,6,1113,0
7242,Hitech City,Car,4,5.0,193.5,5.0,M,7,5554,1
3042,Hitech City,Bike,4,3.0,330.0,4.0,M,19,3602,1
10786,Khairtabad,Bike,5,1.0,372.0,5.0,F,5,1861,0
3976,Khairtabad,Auto,5,,340.5,2.0,F,9,5706,1
6863,Masab Tank,Auto,6,2.0,462.0,5.0,M,4,1303,0
1618,Khairtabad,Car,3,,306.0,,M,48,2792,1
4980,Hitech City,Bike,4,5.0,340.5,2.0,M,7,4414,0
10481,Masab Tank,Bike,5,4.0,361.5,5.0,M,1,1924,1
3157,Gachibowli,Auto,3,5.0,198.0,3.0,M,7,4013,1
2191,Gachibowli,Auto,4,5.0,345.0,,F,38,2890,1
9359,Masab Tank,Bike,6,1.0,463.5,4.0,F,10,1904,1
6366,Hitech City,Bike,6,,337.5,,M,8,5714,1
5776,Khairtabad,Bike,5,2.0,396.0,6.0,M,10,1659,1
